experiment,class,n_samples,detection_rate,separation_ratio,severity,note
separation_ratio_check,normal,0,-1.7776898131288252,1.0,none,threshold=0.368908
separation_ratio_check,DE_ball,1894,1.0,194859.64298245343,all,ratio=194859.64x
separation_ratio_check,DE_inner_race,1893,1.0,85524.75110917,all,ratio=85524.75x
separation_ratio_check,DE_outer_race,1425,1.0,240691.34944521025,all,ratio=240691.35x
separation_ratio_check,FE_ball,1416,1.0,241283.06548100198,all,ratio=241283.07x
separation_ratio_check,FE_inner_race,1416,1.0,233442.43149094694,all,ratio=233442.43x
separation_ratio_check,FE_outer_race,2477,1.0,261997.96790216884,all,ratio=261997.97x
within_distribution,DE_ball,473,1.0,,0.007,threshold=0.047564
within_distribution,DE_inner_race,476,1.0,,0.007,threshold=0.047564
within_distribution,DE_outer_race,475,1.0,,0.007,threshold=0.047564
within_distribution,FE_ball,471,1.0,,0.007,threshold=0.047564
within_distribution,FE_inner_race,472,1.0,,0.007,threshold=0.047564
within_distribution,FE_outer_race,473,1.0,,0.007,threshold=0.047564
severity_generalisation,DE_ball,475,1.0,,0.021,threshold=0.047564
severity_generalisation,DE_inner_race,474,1.0,,0.021,threshold=0.047564
severity_generalisation,DE_outer_race,476,1.0,,0.021,threshold=0.047564
severity_generalisation,FE_ball,471,1.0,,0.021,threshold=0.047564
severity_generalisation,FE_inner_race,472,1.0,,0.021,threshold=0.047564
severity_generalisation,FE_outer_race,1062,1.0,,0.021,threshold=0.047564
