model,class,cv_f1,gen_f1
Random Forest,ball,0.9922589725545391,0.8557806912991657
Random Forest,inner_race,0.9947423764458465,0.8113207547169812
Random Forest,normal,1.0,1.0
Random Forest,outer_race,0.9968365553602812,0.5964497041420118
XGBoost,ball,0.9936753338018272,0.830694275274056
XGBoost,inner_race,0.995440196422308,0.6685472496473907
XGBoost,normal,1.0,1.0
XGBoost,outer_race,0.9961308476960957,0.0032733224222585926
SVM,ball,0.9971850809289233,0.8754208754208754
SVM,inner_race,0.9975429975429976,0.6875
SVM,normal,1.0,1.0
SVM,outer_race,0.9996489996489997,0.7045252883762201
