noise_pct,svm_acc,xgboost_acc,leader,crossover_threshold
0.0,0.9292591042277103,0.991628296358309,XGBoost,0.05
0.01,0.9313520301381331,0.9878610297195479,XGBoost,0.05
0.02,0.9275847634993721,0.9778149853495186,XGBoost,0.05
0.03,0.9263290079531185,0.9547928003348681,XGBoost,0.05
0.04,0.9221431561322729,0.9443281707827543,XGBoost,0.05
0.05,0.9238174968606111,0.8966094600251151,SVM,0.05
0.06,0.9254918375889494,0.8735872750104646,SVM,0.05
0.07,0.9041439933026371,0.8283800753453328,SVM,0.05
0.08,0.9129342821264127,0.8283800753453328,SVM,0.05
0.09,0.8882377563834241,0.7643365424863959,SVM,0.05
0.1,0.876098786102972,0.7693595646714106,SVM,0.05
0.11,0.8551695269987443,0.7241523650062788,SVM,0.05
0.12,0.8514022603599832,0.714524905818334,SVM,0.05
0.13,0.8191712013394726,0.6592716617831729,SVM,0.05
0.14,0.817915445793219,0.6584344914190038,SVM,0.05
0.15,0.7873587275010465,0.614064462118041,SVM,0.05
0.16,0.7919631645039765,0.6061113436584344,SVM,0.05
0.17,0.7559648388447049,0.5554625366262035,SVM,0.05
0.18,0.753034742570113,0.559648388447049,SVM,0.05
0.19,0.7212222687316869,0.517371285056509,SVM,0.05
0.2,0.7082461280870657,0.5115110925073253,SVM,0.05
0.21,0.6776894097948932,0.5043951444118878,SVM,0.05
0.22,0.6818752616157387,0.47174550020929257,SVM,0.05
0.23,0.6278777731268314,0.43993302637086645,SVM,0.05
0.24,0.6395981582251988,0.4449560485558811,SVM,0.05
0.25,0.6111343658434492,0.42109669317706155,SVM,0.05
0.26,0.5985768103809125,0.4231896190874843,SVM,0.05
0.27,0.5730431142737548,0.3993302637086647,SVM,0.05
0.28,0.5763917957304311,0.4064462118041021,SVM,0.05
0.29,0.5391377145249058,0.3830054416073671,SVM,0.05
0.3,0.5366262034323985,0.374633737965676,SVM,0.05
