model,noise_pct,accuracy
Random Forest,0.0,0.9857681038091252
Random Forest,0.05,0.9334449560485559
Random Forest,0.1,0.8601925491837589
Random Forest,0.2,0.7346169945583926
Random Forest,0.3,0.6500627877773126
XGBoost,0.0,0.9933026370866471
XGBoost,0.05,0.9254918375889494
XGBoost,0.1,0.8392632900795312
XGBoost,0.2,0.6848053578903307
XGBoost,0.3,0.5780661364587694
SVM,0.0,0.9292591042277103
SVM,0.05,0.9288405190456258
SVM,0.1,0.9133528673084973
SVM,0.2,0.8560066973629133
SVM,0.3,0.7777312683131017
KNN,0.0,0.950188363331938
KNN,0.05,0.9443281707827543
KNN,0.1,0.9363750523231478
KNN,0.2,0.9012138970280452
KNN,0.3,0.8493093344495605
