condition,model,cv_accuracy,macro_f1
real_only,Random Forest,0.9854332356634575,0.9856005137102057
real_only,XGBoost,0.9912097111762244,0.9913683015719704
real_only,SVM,0.9282544997907074,0.9298498578578397
real_only,KNN,0.9497697781498535,0.949654137474594
real_plus_synthetic,Random Forest,0.9844286312264545,0.9845344222822823
real_plus_synthetic,XGBoost,0.9921305985768104,0.9921732355358175
real_plus_synthetic,SVM,0.9231477605692758,0.9249677597201564
real_plus_synthetic,KNN,0.9569694432817079,0.9569346268269461
real_only,1D-CNN,0.9833402991294861,0.9837095977922313
real_plus_synthetic,1D-CNN,0.981582248210907,0.9816506266258699
